Timestamp,X-Axis,Y-Axis,Z-Axis
0.0,-25,-20,-44
0.1,5,2,-22
0.2,-39,-13,-28
0.3,-486,-230,53
0.4,-321,-121,-6
0.5,-6,-55,-22
0.6,-404,-179,43
0.7,-86,-66,-57
0.8,-182,-22,98
0.9,-435,-79,121
1.0,-499,-178,147
1.1,4,-10,-209
1.2,-55,-43,93
1.3,-42,-16,-96
1.4,-331,-289,139
1.5,-448,-162,-26
1.6,-180,-7,-105
1.7,-245,-101,60
1.8,-285,-126,19
1.9,-145,-75,-10
2.0,-246,-88,50
2.1,-269,-28,140
2.2,-512,-130,186
2.3,-398,-114,40
2.4,70,-5,-205
2.5,-21,39,27
2.6,28,13,-12
2.7,-505,-111,116
2.8,-512,-147,156
2.9,-66,-5,1
3.0,-272,-87,43
3.1,-354,-138,29
3.2,-98,-27,-40
3.3,-181,-74,126
3.4,-246,-112,324
3.5,-512,-304,218
3.6,-20,6,-65
3.7,-74,-154,-21
3.8,60,26,-227
3.9,4,-73,131
4.0,-512,-405,511
4.1,-220,-66,145
4.2,-77,-38,-126
4.3,-367,-203,186
4.4,-116,-37,-3
4.5,-137,-28,-97
4.6,-139,-36,-6
4.7,-486,-100,351
4.8,-386,-78,395
4.9,-28,-53,-161
5.0,-43,-28,252
5.1,-24,-1,-137
5.2,-152,-102,-37
5.3,-512,-364,237
5.4,-324,-53,27
5.5,27,-48,38
5.6,-504,-129,206
5.7,-150,-76,-19
5.8,-184,-78,-58
5.9,-205,-90,32
6.0,-389,-305,62
6.1,323,237,511
6.2,-30,-37,-107
6.3,-143,-22,121
6.4,24,60,-38
6.5,-214,-85,-6
6.6,-512,-52,476
6.7,-362,-109,4
6.8,-44,-50,31
6.9,-338,-38,59
7.0,-247,-18,-51
7.1,-197,-96,-46
7.2,-120,44,51
7.3,-496,-35,92
7.4,-512,-78,326
7.5,12,-169,-293
7.6,52,71,113
7.7,-20,-46,-92
7.8,-46,12,-25
7.9,-512,101,97
8.0,-317,-60,137
8.1,4,-58,-24
8.2,-348,30,40
8.3,-298,-42,38
8.4,-137,-78,-84
8.5,-142,-24,68
8.6,-346,1,223
8.7,-512,-50,222
8.8,-120,-41,-227
8.9,102,-111,511
