Timestamp,X-Axis,Y-Axis,Z-Axis
0.0,-261,-35,33
0.1,-251,-54,15
0.2,-187,-34,-2
0.3,-193,-30,105
0.4,-427,40,40
0.5,-512,-121,96
0.6,150,-145,65
0.7,-59,86,-10
0.8,-17,-20,-58
0.9,-478,-173,124
1.0,-350,-41,-65
1.1,-106,-23,-95
1.2,-276,-69,14
1.3,-230,-68,1
1.4,-128,-36,-26
1.5,-174,-44,148
1.6,-512,-53,124
1.7,-351,-150,-138
1.8,-151,-124,19
1.9,-58,-17,-48
2.0,23,-31,94
2.1,-201,-116,-152
2.2,-512,-134,222
2.3,-281,-26,-85
2.4,-159,-133,76
2.5,-282,-32,68
2.6,-134,-64,-115
2.7,-135,-72,64
2.8,-404,-118,14
2.9,-512,-272,289
3.0,251,-77,-322
3.1,25,-21,-125
3.2,14,47,89
3.3,-84,-7,63
3.4,-512,-189,511
3.5,-255,-137,185
3.6,83,-54,-90
3.7,-504,-131,279
3.8,-196,-48,-22
3.9,-113,-64,115
4.0,-289,-54,371
4.1,-457,-129,305
4.2,-311,-114,-221
4.3,351,-12,-34
4.4,21,7,-134
4.5,2,5,-2
4.6,-342,-145,-177
4.7,-512,-238,62
4.8,-194,-39,-98
4.9,-114,-60,-9
5.0,-400,-129,39
5.1,-112,-60,-10
5.2,-184,-57,24
5.3,-329,-156,237
5.4,-512,-240,184
5.5,158,-28,-200
5.6,-191,-51,511
5.7,28,4,-45
5.8,-284,-207,-114
5.9,-512,-252,136
6.0,-231,-110,5
6.1,124,-54,-7
6.2,-440,-172,175
6.3,-160,-96,-15
6.4,-98,-38,16
6.5,-320,-8,290
6.6,-512,-377,-22
6.7,-342,-83,-80
6.8,154,-67,-189
6.9,-60,-41,-115
7.0,1,24,39
7.1,-363,-228,68
7.2,-267,-232,73
7.3,-172,-1,-50
7.4,-258,-127,95
7.5,-209,-104,6
7.6,-92,-19,-5
7.7,-21,-71,-94
7.8,-512,-218,-37
7.9,-286,-173,202
8.0,272,75,-19
8.1,-91,-110,511
8.2,-31,55,-89
8.3,-125,-181,-119
8.4,-512,-305,32
8.5,-171,-73,-17
8.6,-51,-76,64
8.7,-401,-154,57
8.8,-200,-66,-63
8.9,-257,-91,162
9.0,-512,-230,171
9.1,-472,-331,184
9.2,96,124,-117
9.3,-125,-172,511
9.4,-51,5,-169
9.5,-120,-75,-32
9.6,-463,-300,-31
9.7,-273,-131,148
9.8,71,-29,59
9.9,-512,-232,189
10.0,-192,-116,26
10.1,10,-32,-79
10.2,-225,-78,178
10.3,-457,-224,7
10.4,-512,-306,141
10.5,12,89,-99
10.6,-144,-11,314
10.7,-7,12,19
10.8,-125,-106,-78
10.9,-512,-355,-370
11.0,-295,-148,-44
11.1,127,-47,66
11.2,-371,-94,-18
11.3,-162,-116,-32
11.4,-131,-60,-20
11.5,-248,-63,285
11.6,-435,-106,511
11.7,-385,-159,-116
11.8,391,-124,-309
11.9,1,-9,-134
12.0,-13,41,11
12.1,-105,-107,-186
12.2,-512,-198,-142
12.3,-186,-43,-45
12.4,102,-63,-4
12.5,-358,-117,51
12.6,-142,-64,-11
12.7,-80,-13,-26
12.8,-420,-69,511
12.9,-512,-335,493
13.0,-127,-105,-171
13.1,19,-15,151
13.2,1,61,-54
13.3,-101,-38,79
13.4,-505,-322,116
13.5,-512,-341,199
13.6,-88,32,41
13.7,-216,-103,36
13.8,-293,-169,-37
13.9,-2,3,8
14.0,-242,-9,272
14.1,-512,-253,339
14.2,-502,-279,196
14.3,118,48,-191
14.4,-27,-65,-89
14.5,-10,23,25
14.6,-249,-120,-88
14.7,-512,-356,29
14.8,-208,-116,-45
14.9,-34,-27,-18
15.0,-193,-19,130
15.1,-376,-201,-44
15.2,-435,-379,201
15.3,63,7,-282
15.4,-2,5,309
15.5,34,-25,109
15.6,-181,-43,21
15.7,-512,-310,318
15.8,-311,-125,-28
15.9,-65,-52,-29
16.0,-274,-184,-57
16.1,-140,-64,-23
16.2,-137,14,163
16.3,-447,-237,-162
16.4,-512,-356,116
16.5,496,36,-512
16.6,-152,10,-148
16.7,58,35,232
16.8,-126,-20,38
16.9,-441,-345,238
17.0,-215,-131,177
17.1,-29,-16,2
17.2,-321,-220,38
17.3,-218,-132,51
17.4,-63,-66,-50
17.5,-237,-182,151
17.6,-361,-251,-122
17.7,-497,-289,88
17.8,1,-17,-257
17.9,-46,7,166
18.0,48,30,16
18.1,-189,-146,-115
18.2,-431,-162,-416
18.3,-214,-79,-35
18.4,-55,-55,93
18.5,-305,-134,77
18.6,-215,-79,77
18.7,-124,-63,29
18.8,-260,-69,41
18.9,-480,-221,142
19.0,-512,-230,47
19.1,206,-15,-279
19.2,-60,25,56
19.3,59,21,-3
19.4,-247,-111,-3
19.5,-512,-141,42
19.6,-131,-8,-151
19.7,-238,-47,-5
19.8,-248,-18,113
19.9,-206,-44,2
20.0,-269,-41,23
20.1,-171,-18,47
20.2,-278,21,107
20.3,-512,26,323
20.4,-6,19,-192
20.5,-23,15,166
20.6,-27,-7,-26
20.7,-48,-49,-51
20.8,-512,-52,404
20.9,-427,-45,-62
21.0,48,-76,-28
21.1,-425,-110,275
21.2,-295,-42,-2
21.3,-188,-73,10
21.4,-202,-77,30
21.5,-154,-37,-33
21.6,-440,-1,205
21.7,-512,-116,233
21.8,5,-32,-255
21.9,1,-37,66
22.0,21,14,-85
22.1,-35,-2,-13
22.2,-512,-278,415
22.3,-250,-49,-18
22.4,-83,-23,16
22.5,-360,-99,-26
22.6,-259,-122,10
22.7,-224,-88,-50
22.8,-219,-67,-34
22.9,-142,-32,69
23.0,-173,-86,181
23.1,-512,-156,210
23.2,-14,-156,-209
23.3,-65,-32,120
23.4,16,9,-37
23.5,-22,-12,-27
23.6,-512,-365,511
23.7,-174,-49,199
23.8,-31,-18,29
23.9,-308,-48,117
24.0,-218,-95,52
24.1,-226,-80,9
24.2,-283,-83,69
24.3,-204,-58,-46
24.4,-219,-52,-28
24.5,-404,-81,224
24.6,-512,-188,375
24.7,20,-23,-512
24.8,-62,-20,12
24.9,0,25,-44
25.0,-65,-5,17
25.1,-512,-301,445
25.2,-364,-138,90
25.3,31,-14,25
25.4,-343,-68,92
25.5,-269,-130,20
25.6,-235,-110,-18
25.7,-201,-105,-37
25.8,-214,-24,173
25.9,-506,-135,145
26.0,-470,-210,235
26.1,29,-1,-273
26.2,-104,-17,80
26.3,51,7,-70
26.4,-148,-89,0
26.5,-320,-160,511
26.6,-279,-80,-97
26.7,-155,-63,-12
26.8,-235,-97,1
26.9,-214,-92,35
27.0,-73,-12,3
27.1,-210,-112,-49
27.2,-159,-65,59
27.3,-396,-63,125
27.4,-512,-102,235
27.5,157,-76,-376
27.6,5,34,87
27.7,-19,41,-43
27.8,-166,-19,-82
27.9,-512,-145,423
28.0,-337,-130,3
28.1,-24,-48,-17
28.2,-326,-58,72
28.3,-245,-112,18
28.4,-213,-109,-57
28.5,-124,-77,-67
28.6,-285,-11,106
28.7,-512,-135,120
28.8,-273,-44,-259
28.9,141,-36,-6
29.0,-19,-29,-46
29.1,-11,6,5
29.2,-512,-183,-90
29.3,-394,-170,55
29.4,-120,-49,-28
29.5,-384,-68,129
29.6,-159,-67,57
29.7,-258,-139,22
29.8,-247,-97,17
29.9,-200,-80,-40
