Timestamp,X-Axis,Y-Axis,Z-Axis
0.0,-256,12,37
0.1,-257,11,36
0.2,-255,11,37
0.3,-256,10,37
0.4,-258,9,39
0.5,-257,13,38
0.6,-256,11,38
0.7,-255,12,38
0.8,-255,11,37
0.9,-257,11,39
1.0,-256,16,30
1.1,-257,11,38
1.2,-258,10,43
1.3,-249,14,38
1.4,-259,12,38
1.5,-255,11,40
1.6,-257,13,34
1.7,-257,11,36
1.8,-256,11,41
1.9,-256,11,41
2.0,-256,12,36
2.1,-256,11,40
2.2,-258,13,39
2.3,-256,12,39
2.4,-256,11,40
2.5,-256,13,39
2.6,-257,13,38
2.7,-255,12,39
2.8,-256,13,40
2.9,-257,10,42
3.0,-256,11,36
3.1,-257,11,40
3.2,-257,9,41
3.3,-257,10,41
3.4,-256,10,46
3.5,-254,13,40
3.6,-255,13,40
3.7,-255,14,40
3.8,-256,12,40
3.9,-255,12,40
4.0,-255,11,41
4.1,-255,12,38
4.2,-256,11,48
4.3,-256,15,39
4.4,-257,10,35
4.5,-257,14,42
4.6,-256,13,37
4.7,-256,10,39
4.8,-257,14,39
4.9,-256,11,38
5.0,-256,11,41
5.1,-264,18,27
5.2,-256,12,42
5.3,-257,13,40
5.4,-256,14,40
5.5,-257,10,43
5.6,-254,11,42
5.7,-256,10,45
5.8,-258,11,36
5.9,-256,10,40
6.0,-256,14,30
6.1,-262,18,28
6.2,-246,17,40
6.3,-256,16,43
6.4,-259,13,36
6.5,-260,23,37
6.6,-257,16,42
6.7,-257,23,30
6.8,-261,19,30
6.9,-256,14,34
7.0,-257,12,44
7.1,-259,21,38
7.2,-260,20,37
7.3,-257,19,39
7.4,-252,19,37
7.5,-256,21,31
7.6,-255,21,38
7.7,-255,19,41
7.8,-255,18,42
7.9,-256,19,39
8.0,-256,20,40
8.1,-256,21,38
8.2,-257,23,36
8.3,-257,23,41
8.4,-257,20,37
8.5,-255,22,39
8.6,-256,22,38
8.7,-257,17,35
8.8,-256,15,38
8.9,-256,17,39
9.0,-256,15,37
9.1,-256,18,39
9.2,-255,15,43
9.3,-258,18,43
9.4,-257,20,37
9.5,-256,17,41
9.6,-257,16,40
9.7,-256,21,36
9.8,-256,20,39
9.9,-254,17,35
10.0,-258,19,36
10.1,-257,20,42
10.2,-256,18,38
10.3,-259,19,30
10.4,-255,7,35
10.5,-252,36,27
10.6,-259,10,57
10.7,-255,27,26
10.8,-244,14,36
10.9,-252,-14,4
11.0,-266,22,10
11.1,-273,20,-4
11.2,-259,2,13
11.3,-270,5,9
11.4,-261,-4,24
11.5,-250,-12,-3
11.6,-268,23,-2
11.7,-272,3,12
11.8,-261,-14,3
11.9,-267,28,43
12.0,-214,57,63
12.1,-288,-26,14
12.2,-270,40,45
12.3,-264,-1,4
12.4,-265,0,17
12.5,-285,11,16
12.6,-288,-1,28
12.7,-250,-18,12
12.8,-294,11,16
12.9,-249,11,17
13.0,-253,21,40
13.1,-246,0,-6
13.2,-256,12,11
13.3,-206,12,96
13.4,-266,41,55
13.5,-266,48,15
13.6,-249,13,23
13.7,-267,39,36
13.8,-253,31,28
13.9,-258,14,34
14.0,-266,12,39
14.1,-269,0,19
14.2,-266,6,35
14.3,-258,-2,15
14.4,-278,27,10
14.5,-286,28,-19
14.6,-265,10,-8
14.7,-267,1,-2
14.8,-253,16,24
14.9,-289,45,-11
15.0,-240,-2,-7
15.1,-272,12,-8
15.2,-264,0,10
15.3,-237,8,21
